english_text,marshallese_text,category,description,is_favorite,usage_count,id,created_date,updated_date,created_by_id,created_by,is_sample
"Balance","Pelan","general","","false","0","6903b40bd5901f5493469ef2","2025-10-30T18:52:59.629000","2025-11-03T19:39:33.827000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Happy","Mōnōnō","general","","false","0","6903b40bd5901f5493469efe","2025-10-30T18:52:59.630000","2025-10-30T18:52:59.630000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Elbow","Jimwin ba","body_parts","","false","0","6903b40bd5901f5493469f07","2025-10-30T18:52:59.630000","2025-10-30T18:52:59.630000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Nausea","Mōlañlōñ","symptoms","","false","0","6903b40bd5901f5493469d24","2025-10-30T18:52:59.624000","2025-10-30T18:52:59.624000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Release","Kōtlok","procedures","","false","0","6903b40bd5901f5493469d46","2025-10-30T18:52:59.624000","2025-10-30T18:52:59.624000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Interpreter","Rukok","general","","false","0","6903b40bd5901f5493469d4e","2025-10-30T18:52:59.624000","2025-10-30T18:52:59.624000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Questions","Kajjitōk ko","questions","","false","0","6903b40bd5901f5493469d57","2025-10-30T18:52:59.624000","2025-10-30T18:52:59.624000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"July","Julae","general","","false","0","6903b40bd5901f5493469d62","2025-10-30T18:52:59.624000","2025-10-30T18:52:59.624000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Pill","Wūno batin","general","","false","0","6903b40bd5901f5493469d70","2025-10-30T18:52:59.624000","2025-10-30T18:52:59.624000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Drink","Idaak","general","","false","0","6903b40bd5901f5493469d8c","2025-10-30T18:52:59.625000","2025-10-30T18:52:59.625000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Once","Juon alen","general","","false","0","6903b40bd5901f5493469d8e","2025-10-30T18:52:59.625000","2025-10-30T18:52:59.625000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Doctor","Taktō","medical_staff","","false","0","6903b40bd5901f5493469d96","2025-10-30T18:52:59.625000","2025-10-30T18:52:59.625000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Forehead","Dam","body_parts","","false","4","6903b40bd5901f5493469d9a","2025-10-30T18:52:59.625000","2025-10-30T18:52:59.625000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Water","Aebōj","general","","false","0","6903b40bd5901f5493469de0","2025-10-30T18:52:59.626000","2025-10-30T18:52:59.626000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Stars","Iju","general","","false","0","6903b40bd5901f5493469dea","2025-10-30T18:52:59.626000","2025-10-30T18:52:59.626000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Wheel chair","Wiil jea","general","","false","0","6903b40bd5901f5493469df9","2025-10-30T18:52:59.626000","2025-10-30T18:52:59.626000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"County","Bukwōn","general","","false","0","6903b40bd5901f5493469e0f","2025-10-30T18:52:59.627000","2025-10-30T18:52:59.627000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"A lot","Lap","general","","false","0","6903b40bd5901f5493469e1e","2025-10-30T18:52:59.627000","2025-11-03T13:46:03.051000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Levothyroxine","Levothyroxine (Wūno ear kōkōn jen armej ej jerbal ñan jipañ dãn ko lowaan maan kōnwa mwe rej ejaak jen jikin ko jet mwe rej ba da eo ānbwin eo en kōmmane bwe en jipañ kōmman dān ko ānbwin ej aikuji ilo an kōkāāl lābōlin dān ko ej make ejaaki.)","medication","","false","0","6903b40bd5901f5493469e25","2025-10-30T18:52:59.627000","2025-11-03T14:28:05.988000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Citalopram","Citalopram (SSRI wūno mwe ej jerbal ñan jipañ ikkijjien nana wōt mour ak jaje emōnōnō  ilo an kōkāāl in pelane jikin eo ilo kōmālij mwe ej kōmman emōnōnō.)","medication","","false","0","6903b40bd5901f5493469e32","2025-10-30T18:52:59.627000","2025-11-03T14:23:46.535000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Lorazepam","Lorazepam (Wūno ej jerbal ñan jipañ ekdeelel, nana wōt mour ak jaje emōnōnō, im utamwe ko ikkijjien jab emman kiki.)","medication","","false","0","6903b40bd5901f5493469e3d","2025-10-30T18:52:59.627000","2025-11-03T14:30:38.085000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Montelukast","Montelukast (Jerbal ñan bōbrae orlok ko rellap im jipañ kakōlkōlin kadek mejatoto.)","medication","","false","0","6903b40bd5901f5493469e45","2025-10-30T18:52:59.627000","2025-11-03T13:58:10.762000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Prednisone","Prednisone (Jet kein wūno ej jerbal ñan jipañ bōbōj ko ewōr dān lowa jen elōñ kein kakōlkōl ko āinwōt orlok, kakōlkōl ko an kadek mejatoto, im mokwōj metak, būrōrō, kā, ak bōbōj itok jen an wōr dañ lowa.)","medication","","false","0","6903b40bd5901f5493469e49","2025-10-30T18:52:59.627000","2025-11-03T14:44:59.518000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Aspirin","Aspirin (Wūno ñan metak, piba, ak bōbōj ko ewōr dañ lowa. Barāinwōt bōbrae kwōj bōtōktōk.)","medication","","false","0","6903b40bd5901f5493469e5a","2025-10-30T18:52:59.628000","2025-10-30T18:52:59.628000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Levofloxacin","Levofloxacin (Wūno in wā ñan jipañ kij in inpekjen ko ilo kil, bulōn lōñ in boti im bar, deke in jibke ko, jikin rawūt, im jikin kōmman im kōjbarok bek ilowaan mōmman.)","medication","","false","0","6903b40bd5901f5493469e64","2025-10-30T18:52:59.628000","2025-11-03T14:38:33.217000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Cetirizine","Cetirizine (Wūno in bōbrae abnōnō jen kadeke mejatoto mwe ej jerbal ñan kōmanmanlok kakōllein abbwilōñlōñ ko āinwōt toorlok dān in māj, uwur boti, mōnōjnōj māj/boti, maje im lennab.)","medication","","false","0","6903b40bd5901f5493469e6d","2025-10-30T18:52:59.628000","2025-10-30T18:52:59.628000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Liraglutide","Liraglutide (Jerbal ippān kōmanman mōñā im kōmakūtkūt ānbwin bwe en emmanlok tōñal ko ilo bōtōktōk ippān rūtto mwe ewōr aer taip 2 tōñal ak ro rejjab emman aer kōmman make ak jejjet kūtien ear bōk insulin, im barāinwōt kōmadmōd joñan eddo.)","medication","","false","0","6903b40bd5901f5493469e77","2025-10-30T18:52:59.628000","2025-11-03T14:53:32.893000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Lithium","Lithium (Jerbal ñan jipañ utamwe ikkijjien jab jejjet kūtien tammwin.)","medication","","false","0","6903b40bd5901f5493469ea8","2025-10-30T18:52:59.628000","2025-11-03T14:28:57.499000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Disorder","Utamwe","symptoms","","false","0","6903b40bd5901f5493469ed4","2025-10-30T18:52:59.629000","2025-10-30T18:52:59.629000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Anxiety","Ikdeelel","symptoms","","false","0","6903b40bd5901f5493469ee5","2025-10-30T18:52:59.629000","2025-10-30T18:52:59.629000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"nurse","taktō","medical_staff","","false","1","6903b40bd5901f5493469d18","2025-10-30T18:52:59.623000","2025-10-30T18:52:59.623000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Fever","Piba","symptoms","","false","0","6903b40bd5901f5493469d28","2025-10-30T18:52:59.624000","2025-10-30T18:52:59.624000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Hurt","Metak","symptoms","","false","0","6903b40bd5901f5493469d3b","2025-10-30T18:52:59.624000","2025-10-30T18:52:59.624000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Wait for the doctor.","Kattar taktō en.","procedures","","false","0","6903b40bd5901f5493469d3e","2025-10-30T18:52:59.624000","2025-10-30T18:52:59.624000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Breath in","Bōk kūtūwōm","general","","false","0","6903b40bd5901f5493469d40","2025-10-30T18:52:59.624000","2025-10-30T18:52:59.624000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"You have","Ewōr ke am","general","","false","0","6903b40bd5901f5493469d44","2025-10-30T18:52:59.624000","2025-10-30T18:52:59.624000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Push","luuni","procedures","","false","0","6903b40bd5901f5493469d47","2025-10-30T18:52:59.624000","2025-10-30T18:52:59.624000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Nose","Boti","body_parts","","false","0","6903b40bd5901f5493469d9f","2025-10-30T18:52:59.626000","2025-10-30T18:52:59.626000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Tuesday","Juje","general","","false","0","6903b40bd5901f5493469dec","2025-10-30T18:52:59.626000","2025-10-30T18:52:59.626000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Bed","Peet","general","","false","0","6903b40bd5901f5493469df7","2025-10-30T18:52:59.626000","2025-10-30T18:52:59.626000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Chair","Jea","general","","false","0","6903b40bd5901f5493469df8","2025-10-30T18:52:59.626000","2025-10-30T18:52:59.626000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Crutch","Jokonkon","general","","false","0","6903b40bd5901f5493469dfa","2025-10-30T18:52:59.626000","2025-10-30T18:52:59.626000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Jewelry","Kein tōreejab","general","","false","0","6903b40bd5901f5493469e01","2025-10-30T18:52:59.627000","2025-10-30T18:52:59.627000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Amlodipine","Amlodipine (Wūno ñan jipañ kōbellok ial in an etōr bōtōktōk ej jerbal ñan nañinmejin aer bōtōktōk im metak ob.)","medication","","false","0","6903b40bd5901f5493469e27","2025-10-30T18:52:59.627000","2025-11-03T14:20:03.276000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Rosuvastatin","Rosuvastatin (Jerbal ñan kadiklok kūriij ko ""renana"" im kōlaplok kūriij ko ""remman"".)","medication","","false","0","6903b40bd5901f5493469e43","2025-10-30T18:52:59.627000","2025-10-30T18:52:59.627000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Sertraline","Sertraline (Jerbal ñan jipañ nana wōt mour ak jaje emōnōnō, utamwein kōmālij ko ikkijjien lōmnak ko rejjab emman, im utamwe ko ikkijjien ekdeelel.)","medication","","false","0","6903b40bd5901f5493469e54","2025-10-30T18:52:59.627000","2025-11-03T14:46:22.335000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Lamotrigine","Lamotrigine (Jerbal ñan jipañ makūtkūt ko rejjab emman ilo kōmālij im karumwijlok tammwin ko rejjab emman ippān rūtto ro  rejjab jejjet kūtien tammwier.)","medication","","false","0","6903b40bd5901f5493469e84","2025-10-30T18:52:59.628000","2025-11-03T14:37:18.636000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Testosterone","Testosterone (Dān wūno ej jerbal ñan jipañ mōmaan ro mwe ej walok ke edik dān in testosterone lowaer.)","medication","","false","0","6903b40bd5901f5493469e8b","2025-10-30T18:52:59.628000","2025-11-03T14:46:54.637000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Hydroxychloroquine","Hydroxychloroquine (Jerbal ñan jipañ ak bōbrae jen nañinmej ko rej itok jen nam ko ewōr kij in mōlaria ippāer, im barāinwōt jipañ kakōlle ko an nañinmejin mokwōj ko mwe rej mani kij ko remman ilo bōtōktōk, im nañinmej eo eto an pād mwe ej bar kōjorāāne ānbwin mwe ej kōmman bwe en wōr bōbōj.)","medication","","false","0","6903b40bd5901f5493469e95","2025-10-30T18:52:59.628000","2025-11-03T14:35:36.322000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Baclofen","Baclofen (Wūno ñan jipañ bwe en jab kijñeñe majel im barāinwōt jipañ bwe en jab ejaromrom majel.)","medication","","false","0","6903b40bd5901f5493469e9c","2025-10-30T18:52:59.628000","2025-11-03T14:21:47.165000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Ziprasidone","Ziprasidone (Wūno ej jerbal ñan jipañ utamwe in kōmālij eo elap ej jelōt wāween an armej kōlmānlokjen, im utamwe ikkijjien jab jejjet kūtien tammwin.)","medication","","false","0","6903b40bd5901f5493469ea6","2025-10-30T18:52:59.628000","2025-11-03T14:01:20.540000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Terbinafine","Terbinafine","medication","","false","0","6903b40bd5901f5493469eae","2025-10-30T18:52:59.628000","2025-10-30T18:52:59.628000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Itchy","Mōnōjnōj","symptoms","","false","0","6903b40bd5901f5493469ecc","2025-10-30T18:52:59.629000","2025-10-30T18:52:59.629000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Depression","Nana wōt mour ak jaje emōnōnō","symptoms","","false","0","6903b40bd5901f5493469ed6","2025-10-30T18:52:59.629000","2025-10-30T18:52:59.629000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Finish","Dedelok","general","","false","0","6903b40bd5901f5493469ed8","2025-10-30T18:52:59.629000","2025-10-30T18:52:59.629000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Gout","Kūrro","symptoms","","false","0","6903b40bd5901f5493469ee3","2025-10-30T18:52:59.629000","2025-10-30T18:52:59.629000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Beautiful","Deo ak likatu","general","","false","0","6903b40bd5901f5493469f03","2025-10-30T18:52:59.630000","2025-10-30T18:52:59.630000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"mri","MRI ro","procedures","","false","1","6903b40bd5901f5493469d19","2025-10-30T18:52:59.623000","2025-10-30T18:52:59.623000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"I have a headache","Emetak bōra
","symptoms","","false","4","6903b40bd5901f5493469d21","2025-10-30T18:52:59.624000","2025-10-30T18:52:59.624000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Call 911 immediately","Kalle 911 ilo iien eo emōkajtata","emergency","","false","0","6903b40bd5901f5493469d2e","2025-10-30T18:52:59.624000","2025-10-30T18:52:59.624000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"blood pressure","Aer  bōtōkōk ak ae plot","symptoms","","false","0","6903b40bd5901f5493469d30","2025-10-30T18:52:59.624000","2025-11-03T19:39:02.843000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Reason for visit","Wūnin lotok","general","","false","0","6903b40bd5901f5493469d3a","2025-10-30T18:52:59.624000","2025-10-30T18:52:59.624000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Breath out","Kōrōlok kūtūwōm","general","","false","0","6903b40bd5901f5493469d42","2025-10-30T18:52:59.624000","2025-10-30T18:52:59.624000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Do not move","Jab makūtkūt","general","","false","0","6903b40bd5901f5493469d43","2025-10-30T18:52:59.624000","2025-10-30T18:52:59.624000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Discharge information","Melele ko mōkta jen iien diwōj jen aujpitōl","general","","false","0","6903b40bd5901f5493469d4c","2025-10-30T18:52:59.624000","2025-10-30T18:52:59.624000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Do you need an interpreter?","Kwōj ke aikuj rukok?","questions","","false","0","6903b40bd5901f5493469d4f","2025-10-30T18:52:59.624000","2025-10-30T18:52:59.624000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Consent","Mālim","general","","false","0","6903b40bd5901f5493469d50","2025-10-30T18:52:59.624000","2025-10-30T18:52:59.624000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Medication","Wūno","general","","false","0","6903b40bd5901f5493469d6d","2025-10-30T18:52:59.624000","2025-10-30T18:52:59.624000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Yesterday","Inne","general","","false","0","6903b40bd5901f5493469d82","2025-10-30T18:52:59.625000","2025-10-30T18:52:59.625000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Later","Tokālik","general","","false","0","6903b40bd5901f5493469d85","2025-10-30T18:52:59.625000","2025-10-30T18:52:59.625000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Evening or pm","Jota","general","","false","0","6903b40bd5901f5493469d88","2025-10-30T18:52:59.625000","2025-10-30T18:52:59.625000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Nurse practitioner","Nōōj eo ewōr an jet maroñ ko āinwōt juon taktō","medical_staff","","false","0","6903b40bd5901f5493469d98","2025-10-30T18:52:59.625000","2025-10-30T18:52:59.625000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Ear","Lojilñi","body_parts","","false","0","6903b40bd5901f5493469da1","2025-10-30T18:52:59.626000","2025-10-30T18:52:59.626000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Teeth","Ni","body_parts","","false","0","6903b40bd5901f5493469da5","2025-10-30T18:52:59.626000","2025-10-30T18:52:59.626000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Gums","Nad","body_parts","","false","0","6903b40bd5901f5493469da6","2025-10-30T18:52:59.626000","2025-10-30T18:52:59.626000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Cook","Kōmat","general","","false","0","6903b40bd5901f5493469dcf","2025-10-30T18:52:59.626000","2025-10-30T18:52:59.626000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Cheap","Diik Onāān","general","","false","0","6903b40bd5901f5493469dd3","2025-10-30T18:52:59.626000","2025-10-30T18:52:59.626000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Eat","Mōñā","general","","false","0","6903b40bd5901f5493469dd7","2025-10-30T18:52:59.626000","2025-10-30T18:52:59.626000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Loud","Kolap","general","","false","0","6903b40bd5901f5493469df6","2025-10-30T18:52:59.626000","2025-11-03T13:53:06.120000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Simvastatin","Simvastatin","medication","","false","0","6903b40bd5901f5493469e28","2025-10-30T18:52:59.627000","2025-10-30T18:52:59.627000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Gabapentin","Gabapentin (Wūno ñan jipañ makūkūtin jarom ko ilo kōmālij ñan kōmanman nañinmejin dibūbūb im jipañ metak ko ilo nōōb.)","medication","","false","0","6903b40bd5901f5493469e2b","2025-10-30T18:52:59.627000","2025-11-03T14:33:41.047000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Potassium Chloride","Potassium Chloride (Ōn ej jerbal ñan jipañ ak bōbrae an jabwe men ko naietaer potassium ilowaan ānbwin, mwe raorōk ñan an emman jerbalin majel im nōōb.)","medication","","false","0","6903b40bd5901f5493469e2e","2025-10-30T18:52:59.627000","2025-11-03T14:44:46.786000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Tamsulosin","Tamsulosin","medication","","false","0","6903b40bd5901f5493469e33","2025-10-30T18:52:59.627000","2025-10-30T18:52:59.627000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Varicella Vaccine","Varicella Vaccine (Wā ej kōjbarok jen bok.)","medication","","false","0","6903b40bd5901f5493469e3e","2025-10-30T18:52:59.627000","2025-10-30T18:52:59.627000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Hydrocodone/Acetaminophen","Hydrocodone/Acetaminophen (Kakobaba in wūnoin metak ko mwe ej pād wūno in metak kajoor ippān wūno in metak mwe ej jerbal ñan metak ko redik ñan ko relukkun lap.)","medication","","false","0","6903b40bd5901f5493469e42","2025-10-30T18:52:59.627000","2025-11-03T14:52:48.581000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Furosemide","Furosemide (Wūno batin ej jerbal ñan jipañ jolok bōbōj itok jen dān ilowaan armej jorāān in menono, nañinmejin ār im nañinmejin deke in jibke.)","medication","","false","0","6903b40bd5901f5493469e44","2025-10-30T18:52:59.627000","2025-11-03T14:48:34.123000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Pravastatin","Pravastatin (Jerbal ñan kadiklok kūriij im bōbrae nañinmej ko ilo kōbwebwein menono.)","medication","","false","0","6903b40bd5901f5493469e48","2025-10-30T18:52:59.627000","2025-10-30T18:52:59.627000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Clonazepam","Clonazepam (Jerbal ñan jipañ dibūbbūb im utamwe ko ikkijjien lōlñoñ ak wiwijet.)","medication","","false","0","6903b40bd5901f5493469e4d","2025-10-30T18:52:59.627000","2025-11-03T14:23:53.430000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Rivaroxaban","Rivaroxaban (Wūno ej jerbal ñan kōmāni bōtōktōk mwe ej bōbrae jen an jinoe ejaak kwōin bōtōktōk.)","medication","","false","0","6903b40bd5901f5493469e7b","2025-10-30T18:52:59.628000","2025-10-30T18:52:59.628000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Ezetimibe","Ezetimibe (Jerbal ñan jipañ kadiklok kūriij ilo bōtōktōk.)","medication","","false","0","6903b40bd5901f5493469e7c","2025-10-30T18:52:59.628000","2025-11-03T14:32:07.273000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
"Digoxin","Digoxin (Jerbal ñan jipañ likjab in menono ak jab jejjet kūtien an bam menono.)","medication","","false","0","6903b40bd5901f5493469e7f","2025-10-30T18:52:59.628000","2025-11-03T14:25:28.060000","6903aade8b85d024c22a162b","davefivey@gmail.com","false"
